"","X.GENE_SYMBOL","ENTREZ_GENE_ID","EXOMISER_GENE_PHENO_SCORE","EXOMISER_GENE_VARIANT_SCORE","EXOMISER_GENE_COMBINED_SCORE","HUMAN_PHENO_SCORE","MOUSE_PHENO_SCORE","FISH_PHENO_SCORE","WALKER_SCORE","PHIVE_ALL_SPECIES_SCORE","OMIM_SCORE","MATCHES_CANDIDATE_GENE","HUMAN_PHENO_EVIDENCE","MOUSE_PHENO_EVIDENCE","FISH_PHENO_EVIDENCE","HUMAN_PPI_EVIDENCE","MOUSE_PPI_EVIDENCE","FISH_PPI_EVIDENCE"
"27","DUSP19",142679,0.5001,1,0.7492,0,0,0,0.5001,0.5001,1,0,"","","","","Proximity to MAPK8IP3 Spasticity (HP:0001257)-abnormal neuronal migration (MP:0006009), Microcephaly (HP:0000252)-abnormal telencephalon morphology (MP:0000787), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal anterior commissure morphology (MP:0008225), ","Proximity to MAPK8IP3 Spasticity (HP:0001257)-abnormal(ly) decreased occurrence retrograde axon cargo transport (ZP:0009317), "
"28","PDE4DIP",9659,0.5001,1,0.7492,0,0.349,0,0.5001,0.5001,1,0,"","Dystonia (HP:0001332)-hyperactivity (MP:0001399), ","","Proximity to SLC25A19 associated with Amish lethal microcephaly (ORPHA:99742): Spasticity (HP:0001257)-Limb hypertonia (HP:0002509), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Organic aciduria (HP:0001992), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebellar vermis hypoplasia (HP:0001320), ","Proximity to SLC25A19 Spasticity (HP:0001257)-microcephaly (MP:0000433), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Methylmalonic aciduria (HP:0012120)-ketoaciduria (MP:0002893), Ventriculomegaly (HP:0002119)-absent brain ventricles (MP:0012677), Abnormal basal ganglia MRI signal intensity (HP:0012751)-microcephaly (MP:0000433), ",""
"29","FDXR",2232,0.5001,1,0.7492,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to MUT associated with Methylmalonic aciduria, mut (OMIM:251000): Spasticity (HP:0001257)-Delayed CNS myelination (HP:0002188), Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormal globus pallidus morphology (HP:0002453), ","Proximity to MUT Methylmalonic aciduria (HP:0012120)-aciduria (MP:0010028), Cerebellar atrophy (HP:0001272)-increased brain weight (MP:0002176), ",""
"30","ACVR1B",91,0.5001,1,0.7491,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to SKI associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to SKI Spasticity (HP:0001257)-abnormal olfactory bulb morphology (MP:0000819), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), ",""
"31","KCNJ12",3768,0.5001,1,0.7491,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to FKRP associated with Muscular dystrophy-dystroglycanopathy (OMIM:606612): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the cerebral white matter (HP:0002500), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to FKRP Spasticity (HP:0001257)-abnormal neuronal migration (MP:0006009), Microcephaly (HP:0000252)-abnormal stratification in cerebral cortex (MP:0000790), Cataract (HP:0000518)-corneal opacity (MP:0001314), Ventriculomegaly (HP:0002119)-dilated lateral ventricles (MP:0000825), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal stratification in cerebral cortex (MP:0000790), Cerebellar atrophy (HP:0001272)-abnormal cerebellar foliation (MP:0000857), ","Proximity to FKRP Spasticity (HP:0001257)-abnormal(ly) disorganized retinal neural layer (ZP:0002395), Cataract (HP:0000518)-abnormal(ly) disorganized retinal neural layer (ZP:0002395), Methylmalonic aciduria (HP:0012120)-abnormal(ly) disrupted protein glycosylation (ZP:0008719), "
"32","TLN2",83660,0.5001,0.9999,0.749,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to COL4A1 associated with Porencephaly 1 (OMIM:175780): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Limb dystonia (HP:0002451), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Leukoencephalopathy (HP:0002352), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL4A1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), ",""
"33","TACC1",6867,0.5,1,0.749,0,0,0,0.5,0.5,1,0,"","","","Proximity to OFD1 associated with Orofaciodigital syndrome type 1 (ORPHA:2750): Spasticity (HP:0001257)-Frontal bossing (HP:0002007), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Agenesis of corpus callosum (HP:0001274), Methylmalonic aciduria (HP:0012120)-Proteinuria (HP:0000093), Ventriculomegaly (HP:0002119)-Dandy-Walker malformation (HP:0001305), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Dandy-Walker malformation (HP:0001305), ","","Proximity to OFD1 Methylmalonic aciduria (HP:0012120)-abnormal(ly) disrupted glomerular filtration (ZP:0003234), Ventriculomegaly (HP:0002119)-abnormal(ly) dilated ventricular system (ZP:0001270), "
"34","RBBP6",5930,0.5,1,0.749,0,0,0,0.5,0.5,1,0,"","","","","Proximity to HIPK2 Spasticity (HP:0001257)-dystonia (MP:0005323), Dystonia (HP:0001332)-dystonia (MP:0005323), Microcephaly (HP:0000252)-decreased substantia nigra size (MP:0020543), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased substantia nigra size (MP:0020543), ",""
"35","CAPN5",726,0.5,1,0.7489,0,0,0,0.5,0.5,1,0,"","","","","Proximity to HIPK2 Spasticity (HP:0001257)-dystonia (MP:0005323), Dystonia (HP:0001332)-dystonia (MP:0005323), Microcephaly (HP:0000252)-decreased substantia nigra size (MP:0020543), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased substantia nigra size (MP:0020543), ",""
"36","TFAP2C",7022,0.5,1,0.7489,0,0,0,0.5,0.5,1,0,"","","","Proximity to RPS6KA3 associated with Coffin-Lowry syndrome (ORPHA:192): Spasticity (HP:0001257)-Progressive spasticity (HP:0002191), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cerebellar atrophy (HP:0001272)-Aplasia/Hypoplasia of the cerebellum (HP:0007360), ","Proximity to RPS6KA3 Microcephaly (HP:0000252)-decreased cranium length (MP:0011862), ",""
"37","LNPK",80856,0.5,1,0.7489,0,0,0,0.5,0.5,1,0,"","","","Proximity to MMADHC associated with Homocystinuria, cblD type, variant 1 (OMIM:277410): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","",""
"38","BCDIN3D",144233,0.5,1,0.7489,0,0,0,0.5,0.5,1,0,"","","","Proximity to NANS associated with Spondyloepimetaphyseal dysplasia, Camera-Genevieve type (OMIM:610442): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Small basal ganglia (HP:0012697), ","","Proximity to NANS Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), "
"39","WFS1",7466,0.5003,0.9995,0.7487,0.4272,0.3894,0.1903,0.5003,0.5003,1,0,"?Cataract 41 (OMIM:116400): Cataract (HP:0000518)-Congenital cataract (HP:0000519), ","Dystonia (HP:0001332)-hypoactivity (MP:0001402), ","Methylmalonic aciduria (HP:0012120)-abnormal(ly) disrupted glucose homeostasis (ZP:0004171), ","Proximity to MBTPS2 associated with IFAP syndrome with or without BRESHECK syndrome (OMIM:308205): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Recurrent corneal erosions (HP:0000495), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Brain atrophy (HP:0012444), ","",""
"40","CDK11A",728642,0.5,0.9995,0.7482,0,0,0,0.5,0.5,1,0,"","","","Proximity to FLI1 associated with Jacobsen syndrome (ORPHA:2308): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","",""
"41","GFPT2",9945,0.5006,0.9986,0.7476,0,0.4166,0,0.5006,0.5006,1,0,"","Cataract (HP:0000518)-abnormal lens morphology (MP:0001303), ","","Proximity to L2HGDH associated with L-2-hydroxyglutaric aciduria (OMIM:236792): Spasticity (HP:0001257)-Spastic tetraparesis (HP:0001285), Microcephaly (HP:0000252)-Corpus callosum atrophy (HP:0007371), Methylmalonic aciduria (HP:0012120)-L-2-hydroxyglutaric aciduria (HP:0040144), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Leukoencephalopathy (HP:0002352), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to L2HGDH Dystonia (HP:0001332)-hyperactivity (MP:0001399), ",""
"42","SENP6",26054,0.5001,0.999,0.7473,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to UBA5 associated with Epileptic encephalopathy, early infantile, 44 (OMIM:617132): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Postnatal microcephaly (HP:0005484), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"43","BCLAF1",9774,0.5,0.999,0.7472,0,0,0,0.5,0.5,1,0,"","","","Proximity to BCAP31 associated with Deafness, dystonia, and cerebral hypomyelination (OMIM:300475): Spasticity (HP:0001257)-Tetraplegia (HP:0002445), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"44","INTS1",26173,0.5001,0.9987,0.7469,0,0,0,0.5001,0.5001,1,0,"","","","","Proximity to PPM1L Spasticity (HP:0001257)-decreased striatum area (MP:0012468), Dystonia (HP:0001332)-impaired coordination (MP:0001405), Microcephaly (HP:0000252)-decreased striatum area (MP:0012468), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased striatum area (MP:0012468), ",""
"45","PLA2G15",23659,0.5019,0.9964,0.7464,0,0.1746,0,0.5019,0.5019,1,0,"","Methylmalonic aciduria (HP:0012120)-abnormal kidney morphology (MP:0002135), ","","Proximity to PLA2G6 associated with Neurodegeneration with brain iron accumulation 2B (OMIM:610217): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to PLA2G6 Dystonia (HP:0001332)-hyperactivity (MP:0001399), Cerebellar atrophy (HP:0001272)-neurodegeneration (MP:0002229), ",""
"46","TET1",80312,0.5002,0.9982,0.7461,0,0.464,0,0.5002,0.5002,1,0,"","Spasticity (HP:0001257)-anencephaly (MP:0001890), Microcephaly (HP:0000252)-anencephaly (MP:0001890), Ventriculomegaly (HP:0002119)-abnormal lateral ventricle morphology (MP:0000823), Abnormal basal ganglia MRI signal intensity (HP:0012751)-anencephaly (MP:0001890), ","","Proximity to LIPT1 associated with Leigh syndrome with leukodystrophy (ORPHA:255241): Spasticity (HP:0001257)-Progressive spastic paraplegia (HP:0007020), Dystonia (HP:0001332)-Dystonia (HP:0001332), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Focal T2 hyperintense basal ganglia lesion (HP:0007183), Cerebellar atrophy (HP:0001272)-Optic atrophy (HP:0000648), ","",""
"47","CYP2E1",1571,0.504,0.993,0.7445,0,0,0,0.504,0.504,1,0,"","","","Proximity to CYP2U1 associated with Autosomal recessive spastic paraplegia type 56 (ORPHA:320411): Spasticity (HP:0001257)-Spastic paraplegia (HP:0001258), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Hypoplasia of the corpus callosum (HP:0002079), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormal globus pallidus morphology (HP:0002453), ","",""
"48","PDGFRA",5156,0.5011,0.9952,0.7427,0,0.2558,0,0.5011,0.5011,1,0,"","Dystonia (HP:0001332)-abnormal locomotor coordination (MP:0003312), ","","Proximity to FGFR1 associated with Encephalocraniocutaneous lipomatosis (ORPHA:2396): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Corneal opacity (HP:0007957), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Subcortical cerebral atrophy (HP:0012157), ","Proximity to FGFR1 Cerebellar atrophy (HP:0001272)-abnormal cerebellum vermis morphology (MP:0000864), ","Proximity to FGFR1 Spasticity (HP:0001257)-abnormal(ly) morphology olfactory bulb glomerulus (ZP:0011283), "
"49","ADA2",51816,0.5036,0.9908,0.74,0.3396,0,0.1718,0.5036,0.5036,1,0,"Sneddon syndrome (ORPHA:820): Spasticity (HP:0001257)-Hemiparesis (HP:0001269), Methylmalonic aciduria (HP:0012120)-Nephropathy (HP:0000112), ","","Cerebellar atrophy (HP:0001272)-abnormal(ly) accumulation blood towards hindbrain (ZP:0018158), ","Proximity to FAR1 associated with Peroxisomal fatty acyl-CoA reductase 1 disorder (OMIM:616154): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"50","LMO7",4008,0.5004,0.9933,0.738,0,0,0,0.5004,0.5004,1,0,"","","","Proximity to CLPB associated with 3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia (OMIM:616271): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","Proximity to CLPB Spasticity (HP:0001257)-abnormal(ly) morphology cerebellum axon (ZP:0012655), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cerebellar atrophy (HP:0001272)-abnormal(ly) morphology cerebellum (ZP:0002764), "
"51","TECPR1",25851,0.5,0.9935,0.7376,0,0,0,0.5,0.5,1,0,"","","","Proximity to MCPH1 associated with Autosomal recessive primary microcephaly (ORPHA:2512): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Vesicoureteral reflux (HP:0000076), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), ","Proximity to MCPH1 Spasticity (HP:0001257)-microcephaly (MP:0000433), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Cataract (HP:0000518)-cataract (MP:0001304), Abnormal basal ganglia MRI signal intensity (HP:0012751)-microcephaly (MP:0000433), ",""
"52","C9orf3",84909,0.5,0.9928,0.7362,0,0,0,0.5,0.5,1,0,"","","","Proximity to SKI associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to SKI Spasticity (HP:0001257)-abnormal olfactory bulb morphology (MP:0000819), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), ",""
"53","SV2B",9899,0.5005,0.992,0.7358,0,0,0,0.5005,0.5005,1,0,"","","","","Proximity to ZDHHC17 Spasticity (HP:0001257)-increased neuron apoptosis (MP:0003203), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-decreased brain weight (MP:0002175), ","Proximity to ZDHHC17 Spasticity (HP:0001257)-abnormal(ly) truncated motor neuron axon (ZP:0003660), "
"54","CHRNB4",1143,0.5016,0.9885,0.7318,0,0.2504,0,0.5016,0.5016,1,0,"","Methylmalonic aciduria (HP:0012120)-abnormal urinary bladder physiology (MP:0010386), ","","","Proximity to LYNX1 Spasticity (HP:0001257)-increased susceptibility to neuronal excitotoxicity (MP:0008235), Microcephaly (HP:0000252)-abnormal striatum morphology (MP:0004077), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ",""
"55","TIAM1",7074,0.5004,0.9898,0.7317,0,0.3093,0,0.5004,0.5004,1,0,"","Spasticity (HP:0001257)-anencephaly (MP:0001890), Microcephaly (HP:0000252)-anencephaly (MP:0001890), Abnormal basal ganglia MRI signal intensity (HP:0012751)-anencephaly (MP:0001890), ","","Proximity to JAM3 associated with Hemorrhagic destruction of the brain, subependymal calcification, and cataracts (OMIM:613730): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Postnatal microcephaly (HP:0005484), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to JAM3 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Dystonia (HP:0001332)-lethargy (MP:0005202), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Ventriculomegaly (HP:0002119)-dilated lateral ventricles (MP:0000825), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ",""
"56","PNO1",56902,0.5004,0.9875,0.7276,0,0,0,0.5004,0.5004,1,0,"","","","Proximity to PANK2 associated with HARP syndrome (OMIM:607236): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Pallidal degeneration (HP:0007132), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Eye of the tiger anomaly of globus pallidus (HP:0002454), Cerebellar atrophy (HP:0001272)-Pallidal degeneration (HP:0007132), ","","Proximity to PANK2 Ventriculomegaly (HP:0002119)-abnormal(ly) structure fourth ventricle (ZP:0000184), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size hindbrain (ZP:0002499), "
"57","JARID2",3720,0.5,0.9879,0.7275,0,0.2536,0,0.5,0.5,1,0,"","Methylmalonic aciduria (HP:0012120)-increased circulating creatinine level (MP:0005553), ","","Proximity to RERE associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to RERE Spasticity (HP:0001257)-abnormal hippocampus neuron morphology (MP:0009939), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ","Proximity to RERE Spasticity (HP:0001257)-abnormal(ly) quality hair cell (ZP:0005010), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cataract (HP:0000518)-abnormal(ly) disorganized retina (ZP:0000655), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size brain (ZP:0000711), "
"58","DNAJB6",10049,0.5001,0.9874,0.7268,0,0,0.1884,0.5001,0.5001,1,0,"","","Methylmalonic aciduria (HP:0012120)-abnormal(ly) increased occurrence autophagy (ZP:0003435), ","Proximity to CLPB associated with 3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia (OMIM:616271): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","Proximity to CLPB Spasticity (HP:0001257)-abnormal(ly) morphology cerebellum axon (ZP:0012655), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cerebellar atrophy (HP:0001272)-abnormal(ly) morphology cerebellum (ZP:0002764), "
"59","ITSN2",50618,0.5,0.9866,0.7252,0,0,0,0.5,0.5,1,0,"","","","Proximity to L1CAM associated with CRASH syndrome (OMIM:303350): Spasticity (HP:0001257)-Spastic paraplegia (HP:0001258), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), ","Proximity to L1CAM Spasticity (HP:0001257)-abnormal hippocampus morphology (MP:0000807), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal hippocampus morphology (MP:0000807), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ","Proximity to L1CAM Spasticity (HP:0001257)-abnormal(ly) disrupted axonal fasciculation (ZP:0000962), "
"60","RP1",6101,0.5,0.9848,0.7219,0.4475,0.1775,0,0.5,0.5,1,0,"Retinitis pigmentosa (ORPHA:791): Cataract (HP:0000518)-Cataract (HP:0000518), Cerebellar atrophy (HP:0001272)-Optic atrophy (HP:0000648), ","Cerebellar atrophy (HP:0001272)-retinal photoreceptor degeneration (MP:0008450), ","","Proximity to TERT associated with Hoyeraal-Hreidarsson syndrome (ORPHA:3322): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to TERT Spasticity (HP:0001257)-abnormal neuronal precursor proliferation (MP:0004948), Microcephaly (HP:0000252)-abnormal corpus callosum morphology (MP:0000780), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal corpus callosum morphology (MP:0000780), Cerebellar atrophy (HP:0001272)-decreased brain weight (MP:0002175), ","Proximity to TERT Spasticity (HP:0001257)-abnormal(ly) decreased thickness retinal pigmented epithelium (ZP:0007415), Cataract (HP:0000518)-abnormal(ly) degeneration retina (ZP:0007775), Methylmalonic aciduria (HP:0012120)-abnormal(ly) decreased occurrence testis telomere maintenance (ZP:0009055), "
"61","H1FX",8971,0.5,0.9844,0.721,0,0,0,0.5,0.5,1,0,"","","","Proximity to MECP2 associated with Rett syndrome (ORPHA:778): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cerebellar atrophy (HP:0001272)-Arnold-Chiari malformation (HP:0002308), ","Proximity to MECP2 Spasticity (HP:0001257)-abnormal hippocampus CA2 region morphology (MP:0008265), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), Cerebellar atrophy (HP:0001272)-decreased brain weight (MP:0002175), ","Proximity to MECP2 Spasticity (HP:0001257)-abnormal(ly) increased occurrence brain astrocyte differentiation (ZP:0018102), "
"62","ABLIM2",84448,0.5004,0.9812,0.7158,0,0,0,0.5004,0.5004,1,0,"","","","","Proximity to DSCAM Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Dystonia (HP:0001332)-abnormal gait (MP:0001406), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-dilated brain ventricles (MP:0012676), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased striatum area (MP:0012468), Cerebellar atrophy (HP:0001272)-abnormal cerebellar foliation (MP:0000857), ",""
